,x,0
0,,"device_1,[0.045489833, 0.21547815, 9.842564],1685252601067"
0,,"device_1,[0.08379706, 0.19632454, 9.830592],1685252601118"
0,,"device_1,[0.05746084, 0.20111294, 9.830592],1685252601171"
0,,"device_1,[0.035913024, 0.21547815, 9.821015],1685252601225"
0,,"device_1,[0.062249243, 0.22505496, 9.825804],1685252601277"
0,,"device_1,[0.088585466, 0.20111294, 9.830592],1685252601336"
0,,"device_1,[0.04070143, 0.19632454, 9.849746],1685252601386"
0,,"device_1,[0.1316811, 0.20590134, 10.206482],1685252601440"
0,,"device_1,[0.16759412, 0.1316811, 10.134656],1685252601496"
0,,"device_1,[0.035913024, 0.21308395, 9.727641],1685252601550"
0,,"device_1,[0.074220255, 0.20111294, 9.9550905],1685252601607"
0,,"device_1,[0.07182605, 0.21068975, 9.873688],1685252601663"
0,,"device_1,[0.04070143, 0.20829555, 9.78989],1685252601718"
0,,"device_1,[0.08619126, 0.1436521, 10.01734],1685252601775"
0,,"device_1,[0.045489833, 0.24899697, 9.691729],1685252601829"
0,,"device_1,[0.11252748, 0.16998832, 9.969456],1685252601885"
0,,"device_1,[0.47165772, -0.641646, 9.689334],1685252601940"
0,,"device_1,[0.9959879, -0.59855044, 9.694122],1685252601995"
0,,"device_1,[0.5315128, -0.7733272, 10.338163],1685252602050"
0,,"device_1,[0.5793968, -0.50996494, 9.449914],1685252602105"
0,,"device_1,[0.23463176, -0.49081135, 9.61272],1685252602160"
0,,"device_1,[-0.51954174, -0.32800564, 9.811439],1685252602215"
0,,"device_1,[0.4381389, 0, 10.524911],1685252602272"
0,,"device_1,[0.20111294, 0.2873042, 9.44752],1685252602324"
0,,"device_1,[0.090979666, 0.7493851, 10.0269165],1685252602379"
0,,"device_1,[0.14604631, 0.6775591, 13.761871],1685252602437"
0,,"device_1,[0.8738836, 0.8595184, 7.6111674],1685252602492"
0,,"device_1,[-0.4309563, 1.5346833, 12.476185],1685252602547"
0,,"device_1,[-0.1436521, 1.352724, 8.039729],1685252602603"
0,,"device_1,[-0.6464345, 2.2337902, 9.428367],1685252602657"
0,,"device_1,[0.20590134, 1.9608512, 8.231265],1685252602712"
0,,"device_1,[3.478775, 3.217807, 8.384495],1685252602766"
0,,"device_1,[0.61291564, 1.103727, 13.022063],1685252602820"
0,,"device_1,[0.878672, 1.5011644, 10.366894],1685252602874"
0,,"device_1,[-1.5131354, 1.3623008, 9.945514],1685252602928"
0,,"device_1,[-1.6591818, 2.3582888, 8.248025],1685252602981"
0,,"device_1,[1.1540052, 1.5705963, 4.8243165],1685252603037"
0,,"device_1,[0.45250413, -0.46926352, 9.631873],1685252603091"
0,,"device_1,[3.5769374, -0.31364042, 14.487314],1685252603145"
0,,"device_1,[1.3575124, 1.2210429, 7.2592196],1685252603198"
