,x,0
0,,"device_2,[None, None, None],1685413301410"
0,,"device_2,[0.0023942017, -0.059855044, 9.737218]device_2,[-0.009576807, -0.079008654, 9.78989],1685413301427"
0,,"device_2,[-0.007182605, -0.06943185, 9.801862],1685413301446"
0,,"device_2,[0.0023942017, -0.074220255, 9.811439],1685413301498"
0,,"device_2,[0.02873042, -0.088585466, 9.787497],1685413301550"
0,,"device_2,[0.033518825, -0.08379706, 9.787497],1685413301602"
0,,"device_2,[0.019153614, -0.059855044, 9.763555],1685413301645"
0,,"device_2,[0.01436521, -0.06703765, 9.739613],1685413301706"
0,,"device_2,[0.011971008, -0.07182605, 9.734824],1685413301775"
0,,"device_2,[0.007182605, -0.05746084, 9.751583],1685413301832"
0,,"device_2,[-0.007182605, -0.076614454, 9.765948],1685413301864"
0,,"device_2,[0.023942016, -0.07182605, 9.76116],1685413301918"
0,,"device_2,[0.016759412, -0.074220255, 9.763555],1685413301972"
0,,"device_2,[0.02633622, -0.10055647, 9.765948],1685413302025"
0,,"device_2,[-0.0047884034, -0.093373865, 9.792285],1685413302079"
0,,"device_2,[0, -0.074220255, 9.775525],1685413302133"
0,,"device_2,[-0.007182605, -0.06464344, 9.794679],1685413302186"
0,,"device_2,[0.009576807, -0.062249243, 9.77792],1685413302242"
0,,"device_2,[0.019153614, -0.074220255, 9.763555],1685413302293"
0,,"device_2,[0.01436521, -0.08379706, 9.7803135],1685413302347"
0,,"device_2,[0.009576807, -0.074220255, 9.753978],1685413302401"
0,,"device_2,[-0.0023942017, -0.079008654, 9.758766],1685413302455"
0,,"device_2,[0.0047884034, -0.06703765, 9.7324295],1685413302508"
0,,"device_2,[-0.009576807, -0.059855044, 9.722853],1685413302562"
0,,"device_2,[0.02873042, -0.059855044, 9.718064],1685413302651"
0,,"device_2,[0.019153614, -0.06703765, 9.7084875],1685413302669"
0,,"device_2,[0.016759412, -0.076614454, 9.742006],1685413302722"
0,,"device_2,[-0.009576807, -0.093373865, 9.739613],1685413302776"
0,,"device_2,[0.0047884034, -0.062249243, 9.734824],1685413302829"
0,,"device_2,[-0.009576807, -0.076614454, 9.737218],1685413302883"
0,,"device_2,[0.021547815, -0.088585466, 9.742006],1685413302937"
0,,"device_2,[0.011971008, -0.08140286, 9.773131],1685413302991"
0,,"device_2,[0.033518825, -0.08379706, 9.765948],1685413303055"
0,,"device_2,[0.011971008, -0.093373865, 9.758766],1685413303098"
0,,"device_2,[0.016759412, -0.07182605, 9.749189],1685413303151"
0,,"device_2,[0.023942016, -0.08140286, 9.746795],1685413303205"
0,,"device_2,[0.01436521, -0.06943185, 9.746795],1685413303258"
0,,"device_2,[0.01436521, -0.07182605, 9.746795],1685413303312"
0,,"device_2,[0, -0.08140286, 9.742006],1685413303368"
0,,"device_2,[0.011971008, -0.07182605, 9.730036],1685413303419"
0,,"device_2,[0.01436521, -0.08140286, 9.7324295],1685413303472"
0,,"device_2,[0.009576807, -0.11252748, 9.734824],1685413303526"
0,,"device_2,[0, -0.10055647, 9.737218],1685413303579"
0,,"device_2,[0.0023942017, -0.08619126, 9.734824],1685413303634"
0,,"device_2,[0.02873042, -0.079008654, 9.722853],1685413303688"
0,,"device_2,[0.0023942017, -0.076614454, 9.720459],1685413303741"
0,,"device_2,[0.009576807, -0.076614454, 9.715671],1685413303794"
0,,"device_2,[0.0047884034, -0.06943185, 9.7084875],1685413303848"
0,,"device_2,[0.019153614, -0.079008654, 9.7084875],1685413303902"
0,,"device_2,[-0.011971008, -0.10534488, 9.703699],1685413303955"
0,,"device_2,[0.02873042, -0.093373865, 9.713276],1685413304009"
0,,"device_2,[0.01436521, -0.08379706, 9.7324295],1685413304063"
0,,"device_2,[-0.023942016, -0.088585466, 9.7324295],1685413304116"
0,,"device_2,[0.01436521, -0.076614454, 9.725247],1685413304169"
0,,"device_2,[-0.0047884034, -0.08140286, 9.763555],1685413304223"
0,,"device_2,[0.023942016, -0.07182605, 9.734824],1685413304290"
0,,"device_2,[0.011971008, -0.09816227, 9.7324295],1685413304335"
0,,"device_2,[0.0047884034, -0.090979666, 9.722853],1685413304384"
0,,"device_2,[0.021547815, -0.08379706, 9.710882],1685413304438"
0,,"device_2,[0.007182605, -0.08379706, 9.730036],1685413304494"
0,,"device_2,[0.011971008, -0.088585466, 9.7084875],1685413304545"
0,,"device_2,[0.021547815, -0.10055647, 9.691729],1685413304599"
0,,"device_2,[0.038307227, -0.08140286, 9.7084875],1685413304653"
0,,"device_2,[0.02633622, -0.110133275, 9.691729],1685413304706"
0,,"device_2,[0.023942016, -0.08619126, 9.718064],1685413304759"
0,,"device_2,[0.016759412, -0.10295067, 9.744401],1685413304813"
0,,"device_2,[0.016759412, -0.06703765, 9.715671],1685413304866"
0,,"device_2,[-0.011971008, -0.110133275, 9.753978],1685413304920"
0,,"device_2,[0.021547815, -0.10055647, 9.7324295],1685413304973"
0,,"device_2,[0.007182605, -0.10055647, 9.744401],1685413305027"
0,,"device_2,[-0.0023942017, -0.08140286, 9.730036],1685413305109"
0,,"device_2,[0, -0.08619126, 9.691729],1685413305134"
0,,"device_2,[0.016759412, -0.09816227, 9.701305],1685413305188"
0,,"device_2,[0.0023942017, -0.093373865, 9.703699],1685413305242"
0,,"device_2,[0.011971008, -0.08379706, 9.68694],1685413305295"
0,,"device_2,[-0.0047884034, -0.08140286, 9.696517],1685413305348"
0,,"device_2,[0.016759412, -0.08140286, 9.727641],1685413305403"
0,,"device_2,[0, -0.088585466, 9.713276],1685413305456"
0,,"device_2,[0.007182605, -0.076614454, 9.6845455],1685413305510"
0,,"device_2,[0.0047884034, -0.088585466, 9.710882],1685413305564"
0,,"device_2,[0.02633622, -0.095768064, 9.722853],1685413305618"
0,,"device_2,[0.01436521, -0.088585466, 9.720459],1685413305670"
0,,"device_2,[0.023942016, -0.08619126, 9.722853],1685413305725"
0,,"device_2,[-0.0023942017, -0.08619126, 9.701305],1685413305776"
0,,"device_2,[0.007182605, -0.06703765, 9.677363],1685413305832"
0,,"device_2,[0.0023942017, -0.06703765, 9.653421],1685413305928"
0,,"device_2,[0.016759412, -0.06943185, 9.701305],1685413305940"
0,,"device_2,[0.011971008, -0.08140286, 9.696517],1685413305993"
0,,"device_2,[0.02633622, -0.08619126, 9.749189],1685413306047"
0,,"device_2,[0.0047884034, -0.10534488, 9.734824],1685413306100"
0,,"device_2,[0.016759412, -0.074220255, 9.725247],1685413306154"
0,,"device_2,[0.0047884034, -0.08379706, 9.739613],1685413306207"
