,x,0
0,,"device_1,[None, None, None],1685413305390"
0,,"device_1,[0.12210429, -0.035913024, 9.828198],1685413305400"
0,,"device_1,[0.095768064, -0.045489833, 9.813833],1685413305458"
0,,"device_1,[0.11252748, -0.035913024, 9.835381],1685413305504"
0,,"device_1,[0.107739076, -0.04070143, 9.818622],1685413305559"
0,,"device_1,[0.107739076, -0.038307227, 9.835381],1685413305616"
0,,"device_1,[0.10295067, -0.04309563, 9.830592],1685413305666"
0,,"device_1,[0.11971009, -0.035913024, 9.816227],1685413305724"
0,,"device_1,[0.09816227, -0.035913024, 9.844957],1685413305779"
0,,"device_1,[0.107739076, -0.04309563, 9.821015],1685413305828"
0,,"device_1,[0.11971009, -0.05267244, 9.854534],1685413305928"
0,,"device_1,[0.090979666, -0.04070143, 9.830592],1685413305938"
0,,"device_1,[0.10295067, -0.038307227, 9.842564],1685413305993"
0,,"device_1,[0.110133275, -0.038307227, 9.844957],1685413306050"
0,,"device_1,[0.095768064, -0.02633622, 9.832987],1685413306103"
0,,"device_1,[0.10534488, -0.047884032, 9.842564],1685413306157"
0,,"device_1,[0.10295067, -0.033518825, 9.825804],1685413306211"
0,,"device_1,[0.11492168, -0.021547815, 9.830592],1685413306267"
0,,"device_1,[0.10055647, -0.035913024, 9.842564],1685413306322"
0,,"device_1,[0.09816227, -0.04309563, 9.847352],1685413306377"
0,,"device_1,[0.10295067, -0.035913024, 9.828198],1685413306434"
0,,"device_1,[0.11731588, -0.045489833, 9.837775],1685413306486"
0,,"device_1,[0.095768064, -0.038307227, 9.835381],1685413306543"
0,,"device_1,[0.10534488, -0.035913024, 9.832987],1685413306598"
0,,"device_1,[0.09816227, -0.035913024, 9.832987],1685413306656"
0,,"device_1,[0.095768064, -0.05267244, 9.82341],1685413306748"
0,,"device_1,[0.093373865, -0.045489833, 9.818622],1685413306761"
0,,"device_1,[0.11492168, -0.05267244, 9.842564],1685413306817"
0,,"device_1,[0.10295067, -0.033518825, 9.825804],1685413306895"
0,,"device_1,[0.093373865, -0.038307227, 9.844957],1685413306927"
0,,"device_1,[0.10295067, -0.031124622, 9.844957],1685413306990"
0,,"device_1,[0.093373865, -0.045489833, 9.835381],1685413307037"
0,,"device_1,[0.110133275, -0.038307227, 9.835381],1685413307092"
0,,"device_1,[0.095768064, -0.04070143, 9.821015],1685413307190"
0,,"device_1,[0.10055647, -0.050278235, 9.832987],1685413307201"
0,,"device_1,[0.08140286, -0.050278235, 9.840169],1685413307290"
0,,"device_1,[0.11731588, -0.055066638, 9.835381],1685413307311"
0,,"device_1,[0.09816227, -0.05267244, 9.813833],1685413307366"
0,,"device_1,[0.093373865, -0.035913024, 9.825804],1685413307421"
0,,"device_1,[0.107739076, -0.031124622, 9.80665],1685413307476"
0,,"device_1,[0.107739076, -0.02633622, 9.840169],1685413307567"
0,,"device_1,[0.10295067, -0.05267244, 9.856929],1685413307585"
0,,"device_1,[0.08379706, -0.038307227, 9.837775],1685413307640"
0,,"device_1,[0.095768064, -0.04070143, 9.847352],1685413307696"
0,,"device_1,[0.095768064, -0.02633622, 9.825804],1685413307751"
0,,"device_1,[0.095768064, -0.035913024, 9.828198],1685413307806"
0,,"device_1,[0.11252748, -0.04309563, 9.849746],1685413307861"
