,x,0
0,,"device_2,[None, None, None],1686510948750"
0,,"device_2,[0.51235914, 2.0566192, 9.279925],1686510948800"
0,,"device_2,[0.56982, 2.0326772, 9.581595],1686510948852"
0,,"device_2,[0.5386954, 2.0733786, 9.55047],1686510948904"
0,,"device_2,[0.58897364, 2.099715, 9.794679],1686510949128"
0,,"device_2,[0.45729253, 2.0685902, 9.837775]device_2,[0.7038953, 2.1571758, 9.524135]device_2,[0.5410896, 2.1045034, 9.603143],1686510949133"
0,,"device_2,[0.6727707, 2.0254946, 9.449914],1686510949166"
0,,"device_2,[0.44532153, 2.0207062, 9.425972],1686510949214"
0,,"device_2,[0.5267244, 1.9129672, 9.488221],1686510949304"
0,,"device_2,[0.48362875, 1.8363527, 9.397242],1686510949320"
0,,"device_2,[0.50517654, 1.9440918, 9.440337],1686510949536"
0,,"device_2,[0.62967503, 1.721431, 9.868899]device_2,[0.7182605, 1.8435353, 9.916783]device_2,[0.7469909, 1.8028339, 9.31105],1686510949543"
0,,"device_2,[0.6847417, 1.4676456, 9.459491],1686510949611"
0,,"device_2,[0.78529817, 1.4891934, 9.593566],1686510949642"
0,,"device_2,[0.545878, 1.6400281, 9.809045],1686510949707"
0,,"device_2,[0.24660277, 1.6472107, 8.813056],1686510949946"
0,,"device_2,[0.2753332, 1.7812861, 10.350134]device_2,[0.15322891, 1.7884687, 10.271125]device_2,[0.1316811, 1.8674773, 9.289502],1686510949955"
0,,"device_2,[-0.20829555, 2.0254946, 9.991004],1686510949955"
0,,"device_2,[-0.45250413, 1.9991584, 9.840169],1686510950002"
0,,"device_2,[-0.7206547, 2.0446482, 9.988609],1686510950071"
0,,"device_2,[0.45968673, 1.9009962, 11.456255],1686510950134"
0,,"device_2,[3.526659, 2.6647465, 8.6813755],1686510950258"
0,,"device_2,[3.8283286, 0.107739076, 7.702147],1686510950263"
0,,"device_2,[4.0821137, 1.2904748, 10.036493],1686510950285"
0,,"device_2,[3.098097, 3.430891, 8.62152],1686510950339"
0,,"device_2,[3.6727054, 3.2034419, 12.004527],1686510950392"
0,,"device_2,[2.255338, 3.181894, 10.189722],1686510950447"
0,,"device_2,[5.1810527, 1.3431472, 14.769831],1686510950533"
0,,"device_2,[4.235343, 3.2609026, 6.0621185],1686510950553"
0,,"device_2,[5.7628436, -1.067814, 7.062895],1686510950607"
0,,"device_2,[7.345411, 1.0654198, 4.2401314],1686510950662"
0,,"device_2,[4.9296613, -3.3806129, 3.157952],1686510950716"
0,,"device_2,[12.3038025, 2.1499932, 5.935226],1686510950773"
0,,"device_2,[10.484209, 4.7668557, 4.972757],1686510950840"
0,,"device_2,[7.9726915, 2.3942018, 8.439561],1686510950876"
0,,"device_2,[2.4899697, 0.10534488, 6.4499793],1686510950933"
0,,"device_2,[7.6015906, -0.4141969, 5.5018754],1686510950984"
0,,"device_2,[2.042254, 1.3503298, 6.483498],1686510951044"
0,,"device_2,[2.8538885, 0.48841715, 6.6630635],1686510951092"
0,,"device_2,[4.0653543, 2.0973208, 9.607931],1686510951148"
0,,"device_2,[6.9862804, 2.9352913, 14.367604],1686510951200"
0,,"device_2,[3.7181952, -1.3215994, 7.979874],1686510951253"
0,,"device_2,[-2.5234885, 1.8914193, 0.15562311],1686510951309"
0,,"device_2,[13.117831, 2.6192567, 5.896919],1686510951363"
0,,"device_2,[23.166296, 2.980781, 10.453085],1686510951465"
0,,"device_2,[1.2617443, -4.307169, 6.229713],1686510951470"
0,,"device_2,[25.187002, 8.688558, -3.1794999],1686510951521"
0,,"device_2,[-1.5490485, -6.7253127, 10.620679],1686510951574"
0,,"device_2,[12.849681, -1.2114661, 20.999542],1686510951631"
0,,"device_2,[-0.6368576, -0.6344634, -7.3406224],1686510951685"
0,,"device_2,[-8.243237, -7.165846, 8.647857],1686510951770"
0,,"device_2,[-3.3255463, -7.043741, 22.649149],1686510951789"
0,,"device_2,[8.12592, 2.7461493, 8.439561],1686510951845"
0,,"device_2,[15.981297, 4.1611223, 17.252617],1686510951896"
0,,"device_2,[8.295909, -4.450821, 12.899959],1686510951950"
0,,"device_2,[9.3421755, -8.611943, 1.1540052],1686510952003"
0,,"device_2,[6.4284315, -10.666168, -0.1364695],1686510952064"
0,,"device_2,[3.2345665, -9.284714, 6.232107],1686510952111"
0,,"device_2,[7.785944, -2.7748797, 8.647857],1686510952165"
0,,"device_2,[6.8689647, -0.79248077, 7.726089],1686510952218"
0,,"device_2,[6.172252, -5.130774, 9.662998],1686510952271"
0,,"device_2,[6.265626, -2.885013, 7.4483614],1686510952324"
0,,"device_2,[4.501099, -5.9184666, 1.7621324],1686510952379"
0,,"device_2,[7.728483, -7.1706343, 0.90021986],1686510952435"
0,,"device_2,[6.2249246, -8.355764, 1.1013328],1686510952486"
0,,"device_2,[6.9000893, -8.130709, 0.40222588],1686510952576"
0,,"device_2,[9.097966, -8.540117, 0.50278234],1686510952593"
0,,"device_2,[10.833763, -6.3589997, 3.0909145],1686510952650"
0,,"device_2,[14.1186075, -2.7629087, 5.171476],1686510952701"
0,,"device_2,[9.392453, 0.6392518, 6.9264255],1686510952754"
0,,"device_2,[10.192117, 0.47644615, 5.1547165],1686510952808"
0,,"device_2,[13.532028, -2.8323407, 7.03177],1686510952862"
0,,"device_2,[17.81286, -5.2049947, 3.8402996],1686510952915"
0,,"device_2,[18.79209, -4.8458643, 2.0254946],1686510952991"
0,,"device_2,[14.681245, -3.892972, -0.15083471],1686510953025"
0,,"device_2,[12.749125, -1.9656396, -1.0606314],1686510953076"
0,,"device_2,[10.831368, -0.33518824, -1.6304513],1686510953130"
0,,"device_2,[8.300697, -0.021547815, -2.7102363],1686510953187"
0,,"device_2,[4.501099, -1.5514427, -2.195483],1686510953237"
0,,"device_2,[3.3375173, -2.0446482, -3.4261026],1686510953293"
0,,"device_2,[0.78769237, -4.223372, -4.608838],1686510953394"
0,,"device_2,[5.279215, -6.5026517, -6.3542113],1686510953399"
0,,"device_2,[14.077906, -8.7532015, -5.758055],1686510953452"
0,,"device_2,[18.574217, -11.137826, -5.5282116],1686510953507"
0,,"device_2,[16.582241, -14.085089, -2.681506],1686510953558"
0,,"device_2,[15.203181, -12.112267, 1.2856863],1686510953613"
0,,"device_2,[13.347674, -9.229648, 5.461174],1686510953667"
0,,"device_2,[12.464214, -3.5362358, 8.911219],1686510953720"
0,,"device_2,[9.528923, 1.448492, 7.9152308],1686510953773"
0,,"device_2,[8.348581, 1.1611878, 9.0237465],1686510953827"
0,,"device_2,[9.928755, -2.6982653, 6.495469],1686510953884"
0,,"device_2,[17.120935, -7.311892, 4.5441947],1686510953935"
0,,"device_2,[21.291636, -10.869676, 0.10534488],1686510953989"
0,,"device_2,[19.804836, -9.864111, -3.5865142],1686510954042"
0,,"device_2,[15.746665, -6.885724, -4.1276035],1686510954115"
0,,"device_2,[9.674969, -4.173094, -3.3518825],1686510954152"
0,,"device_2,[6.6391215, -3.311181, -2.8993783],1686510954216"
0,,"device_2,[3.8881836, -3.2393548, -2.815581],1686510954256"
0,,"device_2,[1.3670892, -3.3518825, -5.571307],1686510954319"
0,,"device_2,[2.1404164, -3.7469256, -5.473145],1686510954364"
0,,"device_2,[4.1659107, -6.543353, -5.815516],1686510954421"
0,,"device_2,[8.9998045, -10.989386, -6.3781533],1686510954475"
0,,"device_2,[17.063475, -13.802573, -2.4660277],1686510954523"
0,,"device_2,[19.91497, -13.055582, -4.0294414],1686510954578"
0,,"device_2,[20.010738, -10.244789, -2.0015526],1686510954631"
0,,"device_2,[15.9022875, -6.4020953, 0.6536171],1686510954685"
0,,"device_2,[12.002133, -3.347094, 1.7070658],1686510954737"
0,,"device_2,[10.0987425, -1.0989386, 1.5131354],1686510954792"
0,,"device_2,[10.414778, 1.496376, 1.7669208],1686510954845"
0,,"device_2,[10.807426, 4.5561657, 1.7286136],1686510954899"
0,,"device_2,[10.457873, 3.4117374, 2.3415294],1686510954954"
0,,"device_2,[13.335704, -1.922544, 4.441244],1686510955029"
0,,"device_2,[23.475147, -7.1754227, 1.3239936],1686510955075"
0,,"device_2,[21.456835, -12.938266, -1.4652514],1686510955131"
0,,"device_2,[16.414646, -14.310143, -0.78290397],1686510955184"
0,,"device_2,[11.702858, -12.301409, -0.3184288],1686510955241"
0,,"device_2,[10.254366, -8.444349, -0.2777274],1686510955308"
0,,"device_2,[7.8146744, -5.9041014, -0.45250413],1686510955350"
0,,"device_2,[8.264784, -2.7246015, 0.36870706],1686510955402"
0,,"device_2,[8.061277, 0.24660277, 0.9983821],1686510955456"
0,,"device_2,[4.867412, 3.2848446, 1.9752164],1686510955506"
0,,"device_2,[6.0262055, 2.9257145, 7.1395097],1686510955559"
0,,"device_2,[3.8379054, 2.2601264, 10.180145],1686510955609"
0,,"device_2,[3.8833952, 4.51307, 4.3526587],1686510955661"
0,,"device_2,[3.9815574, 3.8714242, 5.6910176],1686510955711"
0,,"device_2,[4.175488, 3.5936968, 7.639898],1686510955762"
