,x,0
0,,"device_2,[None, None, None],1685343173572"
0,,"device_2,[-0.0023942017, 0.32561144, 9.830592]device_2,[-0.01436521, 0.34955344, 9.866506],1685343173576"
0,,"device_2,[-0.0047884034, 0.36152446, 9.847352],1685343173605"
0,,"device_2,[-0.019153614, 0.34476504, 9.837775],1685343173657"
0,,"device_2,[0.007182605, 0.33997664, 9.866506],1685343173711"
0,,"device_2,[-0.019153614, 0.33279404, 9.837775],1685343173777"
0,,"device_2,[-0.0047884034, 0.33758244, 9.837775],1685343173814"
0,,"device_2,[-0.009576807, 0.34715924, 9.864111],1685343173865"
0,,"device_2,[0.019153614, 0.32561144, 9.832987],1685343173922"
0,,"device_2,[-0.023942016, 0.36152446, 9.864111],1685343173970"
0,,"device_2,[-0.0047884034, 0.33518824, 9.854534],1685343174021"
0,,"device_2,[-0.035913024, 0.33039984, 9.835381],1685343174076"
0,,"device_2,[0.0047884034, 0.3184288, 9.849746],1685343174133"
0,,"device_2,[0.02633622, 0.32800564, 9.859323],1685343174183"
0,,"device_2,[-0.009576807, 0.31364042, 9.847352],1685343174237"
0,,"device_2,[-0.08140286, 0.39025488, 9.940725],1685343174291"
0,,"device_2,[0.016759412, 0.2777274, 9.8042555],1685343174345"
0,,"device_2,[-0.062249243, 0.33518824, 9.864111],1685343174399"
0,,"device_2,[0.050278235, 0.30406362, 9.785102],1685343174453"
0,,"device_2,[-0.047884032, 0.34476504, 9.758766],1685343174508"
0,,"device_2,[-0.016759412, 0.2705448, 9.775525],1685343174597"
0,,"device_2,[-0.035913024, 0.34955344, 9.861717],1685343174617"
0,,"device_2,[-0.016759412, 0.2873042, 9.816227],1685343174671"
0,,"device_2,[-0.009576807, 0.33518824, 9.799467],1685343174725"
0,,"device_2,[-0.04070143, 0.29688102, 9.811439],1685343174780"
0,,"device_2,[-0.05267244, 0.29927522, 9.82341],1685343174833"
0,,"device_2,[0.016759412, 0.320823, 9.818622],1685343174887"
0,,"device_2,[-0.01436521, 0.31603462, 9.80665],1685343174941"
0,,"device_2,[-0.031124622, 0.29448682, 9.801862],1685343174995"
0,,"device_2,[-0.007182605, 0.3184288, 9.8042555],1685343175048"
0,,"device_2,[-0.023942016, 0.29927522, 9.799467],1685343175103"
0,,"device_2,[-0.033518825, 0.32800564, 9.8042555],1685343175156"
0,,"device_2,[-0.0023942017, 0.29209262, 9.792285],1685343175212"
0,,"device_2,[-0.031124622, 0.28491, 9.813833],1685343175265"
0,,"device_2,[-0.038307227, 0.31364042, 9.811439],1685343175319"
0,,"device_2,[-0.035913024, 0.30406362, 9.7803135],1685343175417"
0,,"device_2,[-0.019153614, 0.320823, 9.830592],1685343175427"
0,,"device_2,[0.031124622, 0.3184288, 9.809045],1685343175481"
0,,"device_2,[-0.009576807, 0.29688102, 9.797073],1685343175536"
0,,"device_2,[-0.07182605, 0.30645782, 9.78989],1685343175590"
0,,"device_2,[-0.045489833, 0.2873042, 9.792285],1685343175644"
0,,"device_2,[-0.009576807, 0.29688102, 9.78989],1685343175698"
0,,"device_2,[-0.04070143, 0.31364042, 9.792285],1685343175755"
0,,"device_2,[-0.016759412, 0.2801216, 9.77792],1685343175807"
0,,"device_2,[-0.019153614, 0.31364042, 9.785102],1685343175862"
0,,"device_2,[0.02633622, 0.30166942, 9.787497],1685343175916"
0,,"device_2,[-0.031124622, 0.30166942, 9.782708],1685343175971"
0,,"device_2,[-0.019153614, 0.30406362, 9.773131],1685343176025"
0,,"device_2,[0, 0.2873042, 9.773131],1685343176079"
0,,"device_2,[-0.045489833, 0.30885202, 9.794679],1685343176133"
0,,"device_2,[-0.0047884034, 0.29927522, 9.773131],1685343176186"
0,,"device_2,[-0.019153614, 0.29688102, 9.763555],1685343176240"
0,,"device_2,[-0.01436521, 0.2896984, 9.758766],1685343176294"
0,,"device_2,[-0.033518825, 0.30885202, 9.782708],1685343176348"
0,,"device_2,[-0.031124622, 0.31603462, 9.775525],1685343176402"
0,,"device_2,[-0.0047884034, 0.29448682, 9.792285],1685343176456"
0,,"device_2,[-0.02633622, 0.31124622, 9.787497],1685343176510"
0,,"device_2,[-0.011971008, 0.29688102, 9.77792],1685343176565"
0,,"device_2,[-0.0047884034, 0.29688102, 9.773131],1685343176619"
0,,"device_2,[-0.02873042, 0.28491, 9.785102],1685343176692"
0,,"device_2,[-0.04070143, 0.28491, 9.8042555],1685343176740"
0,,"device_2,[-0.023942016, 0.29927522, 9.770737],1685343176784"
0,,"device_2,[-0.01436521, 0.2801216, 9.8042555],1685343176836"
