,x,0
0,,"device_1,[0.038307227, 2.4468741, 9.694122],1686511249999"
0,,"device_1,[0.110133275, 2.4349031, 9.782708],1686511250079"
0,,"device_1,[0.30645782, 2.3630772, 9.490616],1686511250095"
0,,"device_1,[0.107739076, 2.3989902, 9.674969],1686511250147"
0,,"device_1,[0.33758244, 2.2505496, 9.619903],1686511250206"
0,,"device_1,[0.016759412, 2.4516625, 9.696517],1686511250262"
0,,"device_1,[0.14844051, 2.3822308, 9.275137],1686511250314"
0,,"device_1,[0.016759412, 2.4588451, 9.665392],1686511250378"
0,,"device_1,[0.20829555, 2.255338, 9.445126],1686511250424"
0,,"device_1,[0.08379706, 2.2864625, 9.689334],1686511250478"
0,,"device_1,[0.2825158, 2.2816741, 8.990228],1686511250529"
0,,"device_1,[0.04070143, 2.480393, 9.667787],1686511250588"
0,,"device_1,[0.2705448, 2.3798366, 9.799467],1686511250643"
0,,"device_1,[0.2633622, 2.2744915, 9.49301],1686511250697"
0,,"device_1,[0.36152446, 2.3343468, 9.495404],1686511250763"
0,,"device_1,[0.17717093, 2.4540567, 9.495404],1686511250807"
0,,"device_1,[0.19153613, 2.3894134, 9.667787],1686511250847"
0,,"device_1,[0.19153613, 2.3247697, 9.576807],1686511250915"
0,,"device_1,[0.12449849, 2.3654714, 9.356541],1686511250978"
0,,"device_1,[0.20590134, 2.303222, 9.129091],1686511251024"
0,,"device_1,[0.37110126, 2.0901382, 9.179369],1686511251078"
0,,"device_1,[0.19871874, 2.2744915, 9.931149],1686511251131"
0,,"device_1,[0.088585466, 2.3535004, 9.828198],1686511251180"
0,,"device_1,[0.15322891, 2.3535004, 9.720459],1686511251243"
0,,"device_1,[0.21308395, 2.384625, 9.473856],1686511251296"
0,,"device_1,[0.49559975, 2.2385786, 9.351752],1686511251351"
0,,"device_1,[0.20111294, 2.2481554, 9.751583],1686511251397"
0,,"device_1,[0.2896984, 2.2505496, 9.49301],1686511251461"
0,,"device_1,[0.09816227, 2.2577322, 9.710882],1686511251513"
0,,"device_1,[0.25139117, 2.2218192, 9.557653],1686511251563"
0,,"device_1,[-0.16998832, 2.3295584, 9.890448],1686511251613"
0,,"device_1,[-0.18435353, 2.1667526, 10.048465],1686511251680"
0,,"device_1,[-0.36870706, 1.9153614, 10.192117],1686511251733"
0,,"device_1,[-1.3144168, 2.7126305, 8.90643],1686511251780"
0,,"device_1,[-1.3192052, 2.9640217, 8.207323],1686511251879"
0,,"device_1,[0.33039984, 2.2098482, 9.234436],1686511251899"
0,,"device_1,[0.91458505, 1.8962077, 10.213664],1686511251978"
0,,"device_1,[0.51475334, 2.2457612, 9.581595],1686511251994"
0,,"device_1,[-0.7517793, 2.5115175, 9.615114],1686511252078"
0,,"device_1,[-0.7134721, 2.5354595, 9.595961],1686511252114"
0,,"device_1,[-0.61770403, 2.3654714, 9.758766],1686511252162"
0,,"device_1,[-0.4429273, 2.147599, 10.635044],1686511252213"
0,,"device_1,[0.20590134, 1.6831238, 10.328587],1686511252277"
0,,"device_1,[-0.04070143, 1.9201498, 9.545682],1686511252329"
0,,"device_1,[-0.20350714, 2.0494366, 9.610326],1686511252380"
0,,"device_1,[-0.7254431, 2.2840683, 9.746795],1686511252440"
0,,"device_1,[-0.40462008, 2.1332338, 9.519346],1686511252494"
0,,"device_1,[-0.79726917, 2.3702598, 9.054871],1686511252546"
0,,"device_1,[-0.47884035, 2.1739352, 9.437943],1686511252596"
0,,"device_1,[-0.81402856, 2.2481554, 9.44752],1686511252647"
0,,"device_1,[-0.21068975, 1.8555063, 9.904813],1686511252718"
0,,"device_1,[-0.9864111, 2.3582888, 9.272743],1686511252764"
0,,"device_1,[-0.4165911, 2.1332338, 9.516952],1686511252812"
0,,"device_1,[-0.3854665, 2.2050598, 9.006987],1686511252874"
0,,"device_1,[-0.47165772, 2.2050598, 9.974244],1686511252929"
0,,"device_1,[-0.35673606, 2.0350714, 9.763555],1686511252984"
0,,"device_1,[-0.272939, 2.0614076, 9.555259],1686511253040"
0,,"device_1,[-0.5530606, 2.2697031, 8.983045],1686511253096"
0,,"device_1,[-0.3854665, 2.2457612, 9.919178],1686511253146"
0,,"device_1,[-0.59615624, 2.2122424, 9.504981],1686511253196"
0,,"device_1,[-0.12928689, 2.0350714, 8.9279785],1686511253246"
0,,"device_1,[-0.7445967, 2.3104045, 9.78989],1686511253312"
0,,"device_1,[-1.0271125, 2.5187001, 9.490616],1686511253362"
0,,"device_1,[-0.6607997, 2.3654714, 9.751583],1686511253413"
0,,"device_1,[-0.62009823, 2.1332338, 9.80665],1686511253476"
0,,"device_1,[0.021547815, 1.6927006, 10.338163],1686511253576"
0,,"device_1,[-1.0007763, 2.3798366, 10.263943],1686511253591"
0,,"device_1,[-0.7062895, 2.1308396, 10.295067],1686511253787"
0,,"device_1,[-0.8523358, 2.195483, 9.155427]device_1,[-0.79008657, 2.1811178, 8.485051],1686511253803"
0,,"device_1,[-0.58418524, 2.087744, 8.983045],1686511253809"
0,,"device_1,[-0.37110126, 2.0278888, 9.272743],1686511253863"
0,,"device_1,[-0.32800564, 2.0590134, 9.703699],1686511253913"
0,,"device_1,[-0.7182605, 2.2816741, 9.801862],1686511253962"
0,,"device_1,[-0.45489833, 2.1260512, 9.090784],1686511254021"
0,,"device_1,[-0.2873042, 1.9393034, 9.165004],1686511254076"
